Pgen-contig,Hit-evalue,Hit-Entry,Hit-Gene ontology (GO),Hit-Protein names,Hit-Organism
Pgenerosa-v1_contig_10191,4.00E-12,Q9NVX0,G2/M transition of mitotic cell cycle; Golgi apparatus; HAUS complex; cell division; centrosome; centrosome organization; cytosol; microtubule; mitosis; nucleus; spindle; spindle assembly,HAUS augmin-like complex subunit 2 (Centrosomal protein of 27 kDa) (Cep27),Homo sapiens (Human)
Pgenerosa-v1_contig_10193,1.00E-69,Q9R0Y5,ATP binding; ATP metabolic process; adenylate kinase activity; cell cycle arrest; cytoplasm; nucleoside diphosphate kinase activity; nucleoside triphosphate biosynthetic process; outer dense fiber; plasma membrane; sperm flagellum,Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase),Mus musculus (Mouse)
Pgenerosa-v1_contig_10194,0,Q99570,ATP binding; cytosol; innate immune response; insulin receptor signaling pathway; late endosome; phosphatidylinositol biosynthetic process; protein kinase activity; protein serine/threonine kinase activity; small molecule metabolic process; toll-like receptor 9 signaling pathway,Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein),Homo sapiens (Human)
Pgenerosa-v1_contig_10196,5.00E-70,A2ASS6,ATP binding; M band; Z disc; adult heart development; cardiac myofibril assembly; forward locomotion; heart morphogenesis; in utero embryonic development; metal ion binding; muscle contraction; muscle myosin complex; nucleus; peptidyl-tyrosine phosphorylation; protein serine/threonine kinase activity; protein tyrosine kinase activity; regulation of relaxation of cardiac muscle; sarcomere organization; somitogenesis; structural constituent of cytoskeleton,Titin (EC 2.7.11.1) (Connectin),Mus musculus (Mouse)
Pgenerosa-v1_contig_10197,2.00E-123,Q6TH22,aspartic-type endopeptidase activity; proteolysis,Protein DDI1 homolog 2,Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_10205,2.00E-29,Q16534,double-stranded DNA binding; multicellular organismal development; nucleus; rhythmic process; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; skeletal muscle cell differentiation; transcription from RNA polymerase II promoter,Hepatic leukemia factor,Homo sapiens (Human)
Pgenerosa-v1_contig_10209,1.00E-48,Q9UBS9,integral to membrane; membrane; multicellular organismal development; ossification; positive regulation of collagen biosynthetic process; positive regulation of osteoblast differentiation; regulation of bone remodeling; rough endoplasmic reticulum; rough endoplasmic reticulum membrane,SUN domain-containing ossification factor (Membrane protein CH1) (Protein osteopotentia homolog) (SUN-like protein 1),Homo sapiens (Human)
Pgenerosa-v1_contig_1021,2.00E-55,Q5M8L0,cysteine-type peptidase activity; proteolysis,OTU domain-containing protein 6B (EC 3.4.19.12),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Pgenerosa-v1_contig_10210,2.00E-28,Q9CQM0,microtubule; nucleus,Nicolin-1 (Tubulin polyglutamylase complex subunit 5) (PGs5) (p24),Mus musculus (Mouse)
Pgenerosa-v1_contig_10216,3.00E-72,Q4KLH5,ARF GTPase activator activity; DNA binding; cell differentiation; cytoplasmic membrane-bounded vesicle; multicellular organismal development; nucleus; regulation of ARF GTPase activity; spermatogenesis; transport; zinc ion binding,Arf-GAP domain and FG repeat-containing protein 1 (HIV-1 Rev-binding protein homolog) (Nucleoporin-like protein RIP),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_10217,1.00E-07,Q21338,"DSIF complex; chromosome; regulation of DNA-dependent transcription, elongation; regulation of transcription from RNA polymerase II promoter; transcription, DNA-dependent",Transcription elongation factor SPT5 (DRB sensitivity-inducing factor large subunit) (DSIF large subunit),Caenorhabditis elegans
Pgenerosa-v1_contig_10220,2.00E-09,Q52KB5,"DNA binding; metal ion binding; nucleus; sequence-specific DNA binding transcription factor activity; transcription, DNA-dependent",Zinc finger and BTB domain-containing protein 24 (Zinc finger protein 450),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_10225,0,Q9JKU3,cilium; cilium assembly; multicellular organismal development; negative regulation of transcription from RNA polymerase II promoter; nucleus; transcription factor binding,Intraflagellar transport protein 172 homolog (Selective LIM-binding factor),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_10232,1.00E-16,Q9NS37,"DNA binding; negative regulation of gene expression, epigenetic; negative regulation of transcription, DNA-dependent; nucleus; regulation of sequence-specific DNA binding transcription factor activity; response to virus; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; transcription, DNA-dependent",CREB/ATF bZIP transcription factor (Host cell factor-binding transcription factor Zhangfei) (HCF-binding transcription factor Zhangfei),Homo sapiens (Human)
Pgenerosa-v1_contig_10234,3.00E-15,Q7L0X2,,Protein FAM194A,Homo sapiens (Human)
Pgenerosa-v1_contig_10236,7.00E-25,Q8HXG8,"carotene metabolic process; metal ion binding; mitochondrion; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","Beta,beta-carotene 9',10'-oxygenase (EC 1.13.11.71) (B-diox-II) (Beta-carotene dioxygenase 2)",Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Pgenerosa-v1_contig_10237,3.00E-77,Q7K4Q5,metal ion binding; protein dephosphorylation; protein serine/threonine phosphatase activity,Probable protein phosphatase CG10417 (EC 3.1.3.16),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_10239,3.00E-23,O35095,bone resorption; cytosol; dendrite; neuron projection development; neuronal cell body; regulation of neuronal synaptic plasticity,Neurochondrin (Neurite outgrowth-related protein from the rat brain) (Norbin),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_1024,2.00E-133,Q9Y4P3,,Transducin beta-like protein 2 (WS beta-transducin repeats protein) (WS-betaTRP) (Williams-Beuren syndrome chromosomal region 13 protein),Homo sapiens (Human)
Pgenerosa-v1_contig_10240,6.00E-131,P49411,GTP binding; GTP catabolic process; GTPase activity; mitochondrial nucleoid; translation elongation factor activity,"Elongation factor Tu, mitochondrial (EF-Tu) (P43)",Homo sapiens (Human)
Pgenerosa-v1_contig_10242,3.00E-139,P53033,ATP binding; DNA binding; DNA replication; double-strand break repair via homologous recombination; nucleoplasm; nucleoside-triphosphatase activity,Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40),Gallus gallus (Chicken)
Pgenerosa-v1_contig_10243,1.00E-54,O15943,R7 cell development; R8 cell development; axon; axon extension involved in axon guidance; axon target recognition; axonal fasciculation; beta-catenin binding; calcium ion binding; calcium-dependent cell-cell adhesion; cell adhesion molecule binding; cell-cell adhesion mediated by cadherin; cell-cell junction; dendrite; homophilic cell adhesion; integral to plasma membrane; negative regulation of dendrite morphogenesis; ommatidial rotation; receptor activity; regulation of axon extension involved in axon guidance; retinal ganglion cell axon guidance,Neural-cadherin (Cadherin-N) (dN-cadherin),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_10244,0,A2AJ88,endoplasmic reticulum; hydrolase activity; integral to membrane; lipid metabolic process; lysosomal membrane; mitochondrial membrane; nuclear membrane,Patatin-like phospholipase domain-containing protein 7 (EC 3.1.1.-),Mus musculus (Mouse)
Pgenerosa-v1_contig_10245,3.00E-23,Q15643,Golgi apparatus; cytoskeleton; membrane; nucleus; protein targeting to Golgi; transcription coactivator activity; transcription from RNA polymerase II promoter; ventricular septum development,Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210) (GMAP-210) (Trip230),Homo sapiens (Human)
Pgenerosa-v1_contig_10247,4.00E-145,,,,
Pgenerosa-v1_contig_10249,7.00E-08,P41236,generation of precursor metabolites and energy; glycogen metabolic process; protein serine/threonine phosphatase inhibitor activity; regulation of phosphoprotein phosphatase activity; regulation of signal transduction,Protein phosphatase inhibitor 2 (IPP-2),Homo sapiens (Human)
Pgenerosa-v1_contig_1025,2.00E-34,O08623,SH2 domain binding; aggresome; apoptotic process; autophagic vacuole; cell differentiation; cytoplasmic mRNA processing body; cytoplasmic vesicle; endoplasmic reticulum; late endosome; lysosome; macroautophagy; nucleus; positive regulation of protein phosphorylation; pre-autophagosomal structure; protein heterooligomerization; protein homodimerization activity; protein kinase C binding; regulation of I-kappaB kinase/NF-kappaB cascade; ubiquitin binding; zinc ion binding,Sequestosome-1 (Protein kinase C-zeta-interacting protein) (PKC-zeta-interacting protein) (Ubiquitin-binding protein p62),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_10252,3.00E-108,Q9N1Q4,L-amino acid transmembrane transporter activity; amino acid transmembrane transporter activity; basolateral plasma membrane; cytoplasm; integral to membrane; neutral amino acid transport; organic cation transmembrane transporter activity; peptide antigen binding; toxin transporter activity,Large neutral amino acids transporter small subunit 2 (4F2-LC5) (L-type amino acid transporter 2) (Solute carrier family 7 member 8),Oryctolagus cuniculus (Rabbit)
Pgenerosa-v1_contig_10253,5.00E-81,Q17QH8,oxidoreductase activity,Epimerase family protein SDR39U1 (EC 1.1.1.-) (Short-chain dehydrogenase/reductase family 39U member 1),Bos taurus (Bovine)
Pgenerosa-v1_contig_10254,6.00E-84,Q8CCN5,cell periphery; cytoplasm; nucleus,Breast carcinoma-amplified sequence 3 homolog (K20D4),Mus musculus (Mouse)
Pgenerosa-v1_contig_10258,0,Q9BXJ9,"N-acetyltransferase activity; N-terminal protein amino acid acetylation; angiogenesis; cell differentiation; cytoplasm; nucleus; positive regulation of transcription, DNA-dependent; transcription factor complex; transcription, DNA-dependent","N-alpha-acetyltransferase 15, NatA auxiliary subunit (Gastric cancer antigen Ga19) (N-terminal acetyltransferase) (NMDA receptor-regulated protein 1) (Protein tubedown-1) (Tbdn100)",Homo sapiens (Human)
Pgenerosa-v1_contig_10263,3.00E-110,P41239,ATP binding; cytoplasm; non-membrane spanning protein tyrosine kinase activity; peptidyl-tyrosine phosphorylation,Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase),Gallus gallus (Chicken)
Pgenerosa-v1_contig_10265,0,Q6AZV7,ATP binding; ATP-dependent helicase activity; RNA binding,ATP-dependent RNA helicase DDX55 (EC 3.6.4.13) (DEAD box protein 55),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_10266,8.00E-58,P15428,15-hydroxyprostaglandin dehydrogenase (NAD+) activity; NAD+ binding; cyclooxygenase pathway; cytosol; ductus arteriosus closure; female pregnancy; lipoxin metabolic process; lipoxygenase pathway; negative regulation of cell cycle; nucleus; ovulation; parturition; prostaglandin E receptor activity; protein homodimerization activity; thrombin receptor signaling pathway; transforming growth factor beta receptor signaling pathway,15-hydroxyprostaglandin dehydrogenase [NAD(+)] (15-PGDH) (EC 1.1.1.141) (Prostaglandin dehydrogenase 1),Homo sapiens (Human)
Pgenerosa-v1_contig_10268,6.00E-77,Q09324,"Golgi cisterna; Golgi membrane; beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity; cell adhesion molecule production; glycoprotein biosynthetic process; integral to membrane; kidney morphogenesis; leukocyte tethering or rolling; protein glycosylation; tissue morphogenesis","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.102) (Core 2-branching enzyme) (Core2-GlcNAc-transferase) (C2GNT)",Mus musculus (Mouse)
Pgenerosa-v1_contig_10269,0,Q6PCJ1,cytoplasm; dynactin complex; dynein complex; microtubule; microtubule-based transport; motor activity,Dynactin subunit 1,Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_10270,7.00E-12,P46937,RNA polymerase II transcription factor binding transcription factor activity; cell proliferation; cellular response to gamma radiation; chromatin binding; contact inhibition; cytosol; embryonic heart tube morphogenesis; hippo signaling cascade; keratinocyte differentiation; lateral mesoderm development; negative regulation of apoptotic process; negative regulation of epithelial cell differentiation; notochord development; nucleoplasm; paraxial mesoderm development; positive regulation of canonical Wnt receptor signaling pathway; positive regulation of cell proliferation; positive regulation of organ growth; positive regulation of transcription from RNA polymerase II promoter; regulation of keratinocyte proliferation; regulation of stem cell proliferation; response to DNA damage stimulus; somatic stem cell maintenance; transcription coactivator activity; transcription corepressor activity; transcription factor complex; transcription initiation from RNA polymerase II promoter; transcription regulatory region DNA binding; vasculogenesis,Yorkie homolog (65 kDa Yes-associated protein) (YAP65),Homo sapiens (Human)
Pgenerosa-v1_contig_10273,3.00E-12,A2AVA0,calcium ion binding; cell adhesion; chromatin binding; cytoplasm; extracellular region; membrane,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",Mus musculus (Mouse)
Pgenerosa-v1_contig_10274,2.00E-08,Q2M3W8,"DNA binding; metal ion binding; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Zinc finger protein 181 (HHZ181),Homo sapiens (Human)
Pgenerosa-v1_contig_10277,2.00E-10,Q6GPP1,"chromosome, telomeric region; cytoplasm; membrane; nucleus",Telomere length regulation protein TEL2 homolog,Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_10278,2.00E-44,Q5XI03,centrosome; cytoplasm; spindle pole,Centrosomal protein of 95 kDa (Cep95) (Coiled-coil domain-containing protein 45),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_1028,3.00E-76,Q7ZYA2,"cell differentiation; cytoplasm; multicellular organismal development; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Transcription initiation factor TFIID subunit 8 (TBP-associated factor 8),Xenopus laevis (African clawed frog)
